230;236;242
206;224;242
182;212;242
157;200;242
133;188;242
109;176;242
85;164;242
61;151;242
36;139;242
12;127;242
206;211;217
184;200;217
163;190;217
141;179;217
119;168;217
98;157;217
76;146;217
54;135;217
33;125;217
11;114;217
182;186;191
163;177;191
143;167;191
124;158;191
105;148;191
86;139;191
67;129;191
48;120;191
29;110;191
10;100;191
157;162;166
141;153;166
124;145;166
108;137;166
91;128;166
75;120;166
58;112;166
41;104;166
25;95;166
8;87;166
133;137;140
119;130;140
105;123;140
91;116;140
77;109;140
63;102;140
49;95;140
35;88;140
21;81;140
7;74;140
109;112;115
98;106;115
86;100;115
75;95;115
63;89;115
52;83;115
40;77;115
29;72;115
17;66;115
6;60;115
85;87;89
76;83;89
67;78;89
58;74;89
49;69;89
40;65;89
31;60;89
22;56;89
13;51;89
4;47;89
61;62;64
54;59;64
48;56;64
41;53;64
35;49;64
29;46;64
22;43;64
16;40;64
10;37;64
3;33;64
36;37;38
33;35;38
29;33;38
25;32;38
21;30;38
17;28;38
13;26;38
10;24;38
6;22;38
2;20;38
12;12;13
11;12;13
10;11;13
8;11;13
7;10;13
6;9;13
4;9;13
3;8;13
2;7;13
1;7;13
