230;242;236
206;242;224
182;242;212
157;242;200
133;242;188
109;242;176
85;242;164
61;242;151
36;242;139
12;242;127
206;217;211
184;217;200
163;217;190
141;217;179
119;217;168
98;217;157
76;217;146
54;217;135
33;217;125
11;217;114
182;191;186
163;191;177
143;191;167
124;191;158
105;191;148
86;191;139
67;191;129
48;191;120
29;191;110
10;191;100
157;166;162
141;166;153
124;166;145
108;166;137
91;166;128
75;166;120
58;166;112
41;166;104
25;166;95
8;166;87
133;140;137
119;140;130
105;140;123
91;140;116
77;140;109
63;140;102
49;140;95
35;140;88
21;140;81
7;140;74
109;115;112
98;115;106
86;115;100
75;115;95
63;115;89
52;115;83
40;115;77
29;115;72
17;115;66
6;115;60
85;89;87
76;89;83
67;89;78
58;89;74
49;89;69
40;89;65
31;89;60
22;89;56
13;89;51
4;89;47
61;64;62
54;64;59
48;64;56
41;64;53
35;64;49
29;64;46
22;64;43
16;64;40
10;64;37
3;64;33
36;38;37
33;38;35
29;38;33
25;38;32
21;38;30
17;38;28
13;38;26
10;38;24
6;38;22
2;38;20
12;13;12
11;13;12
10;13;11
8;13;11
7;13;10
6;13;9
4;13;9
3;13;8
2;13;7
1;13;7
