230;242;242
206;242;242
182;242;242
157;242;242
133;242;242
109;242;242
85;242;242
61;242;242
36;242;242
12;242;242
206;217;217
184;217;217
163;217;217
141;217;217
119;217;217
98;217;217
76;217;217
54;217;217
33;217;217
11;217;217
182;191;191
163;191;191
143;191;191
124;191;191
105;191;191
86;191;191
67;191;191
48;191;191
29;191;191
10;191;191
157;166;166
141;166;166
124;166;166
108;166;166
91;166;166
75;166;166
58;166;166
41;166;166
25;166;166
8;166;166
133;140;140
119;140;140
105;140;140
91;140;140
77;140;140
63;140;140
49;140;140
35;140;140
21;140;140
7;140;140
109;115;115
98;115;115
86;115;115
75;115;115
63;115;115
52;115;115
40;115;115
29;115;115
17;115;115
6;115;115
85;89;89
76;89;89
67;89;89
58;89;89
49;89;89
40;89;89
31;89;89
22;89;89
13;89;89
4;89;89
61;64;64
54;64;64
48;64;64
41;64;64
35;64;64
29;64;64
22;64;64
16;64;64
10;64;64
3;64;64
36;38;38
33;38;38
29;38;38
25;38;38
21;38;38
17;38;38
13;38;38
10;38;38
6;38;38
2;38;38
12;13;13
11;13;13
10;13;13
8;13;13
7;13;13
6;13;13
4;13;13
3;13;13
2;13;13
1;13;13
