230;242;230
206;242;206
182;242;182
157;242;157
133;242;133
109;242;109
85;242;85
61;242;61
36;242;36
12;242;12
206;217;206
184;217;184
163;217;163
141;217;141
119;217;119
98;217;98
76;217;76
54;217;54
33;217;33
11;217;11
182;191;182
163;191;163
143;191;143
124;191;124
105;191;105
86;191;86
67;191;67
48;191;48
29;191;29
10;191;10
157;166;157
141;166;141
124;166;124
108;166;108
91;166;91
75;166;75
58;166;58
41;166;41
25;166;25
8;166;8
133;140;133
119;140;119
105;140;105
91;140;91
77;140;77
63;140;63
49;140;49
35;140;35
21;140;21
7;140;7
109;115;109
98;115;98
86;115;86
75;115;75
63;115;63
52;115;52
40;115;40
29;115;29
17;115;17
6;115;6
85;89;85
76;89;76
67;89;67
58;89;58
49;89;49
40;89;40
31;89;31
22;89;22
13;89;13
4;89;4
61;64;61
54;64;54
48;64;48
41;64;41
35;64;35
29;64;29
22;64;22
16;64;16
10;64;10
3;64;3
36;38;36
33;38;33
29;38;29
25;38;25
21;38;21
17;38;17
13;38;13
10;38;10
6;38;6
2;38;2
12;13;12
11;13;11
10;13;10
8;13;8
7;13;7
6;13;6
4;13;4
3;13;3
2;13;2
1;13;1
