242;230;230
242;206;206
242;182;182
242;157;157
242;133;133
242;109;109
242;85;85
242;61;61
242;36;36
242;12;12
217;206;206
217;184;184
217;163;163
217;141;141
217;119;119
217;98;98
217;76;76
217;54;54
217;33;33
217;11;11
191;182;182
191;163;163
191;143;143
191;124;124
191;105;105
191;86;86
191;67;67
191;48;48
191;29;29
191;10;10
166;157;157
166;141;141
166;124;124
166;108;108
166;91;91
166;75;75
166;58;58
166;41;41
166;25;25
166;8;8
140;133;133
140;119;119
140;105;105
140;91;91
140;77;77
140;63;63
140;49;49
140;35;35
140;21;21
140;7;7
115;109;109
115;98;98
115;86;86
115;75;75
115;63;63
115;52;52
115;40;40
115;29;29
115;17;17
115;6;6
89;85;85
89;76;76
89;67;67
89;58;58
89;49;49
89;40;40
89;31;31
89;22;22
89;13;13
89;4;4
64;61;61
64;54;54
64;48;48
64;41;41
64;35;35
64;29;29
64;22;22
64;16;16
64;10;10
64;3;3
38;36;36
38;33;33
38;29;29
38;25;25
38;21;21
38;17;17
38;13;13
38;10;10
38;6;6
38;2;2
13;12;12
13;11;11
13;10;10
13;8;8
13;7;7
13;6;6
13;4;4
13;3;3
13;2;2
13;1;1
